PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4
21,2025-10-02,15:10:15,1,1,"Johns, Tanner",10103620,Left,GRA_CAN,"Ahern, Garrett",821903,Right,GRA_CAN,Undefined,1,Bottom,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.43936,-2.158841,0.922455,2046.726581,128.404423,10:15:00,5.73862,-1.10915,5.15542,-27.03994,12.66162,-14.24253,1.45186,-1.42761,77.7294,-7.140501,-1.601688,0.453498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.33815,7.36485,1.03427,50,5.51661,-1.3543,-123.7805,-5.62343,11.29364,26.55805,-20.83938,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,9359c200-9fdc-11f0-85e9-e9560c876798,83.11492,NA,NA,7.70996,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:10:15,2025-10-02T22:10:15Z,2025-10-02T22:10:15Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,6c2a4327-922c-485a-bd19-27f7742f8d17,55.34112,-124.92122,13.27903,5.73893,-4.72833,-10.41969,1.10285,-1.83939,5.64682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2025-10-02,15:10:37,1,2,"Johns, Tanner",10103620,Left,GRA_CAN,"Ahern, Garrett",821903,Right,GRA_CAN,Undefined,1,Bottom,0,1,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,85.19139,-0.600365,-0.028789,1999.821524,132.674687,10:30:00,5.59832,-1.40927,5.13108,-26.62088,13.23827,-12.90253,2.81449,-2.5116,77.45346,-5.522745,-2.312654,0.454397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37823,7.16288,1.42229,50,5.5219,0.64162,-123.52286,-2.2308500000000002,9.78947,26.12071,-21.18027,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,a04d08f0-9fdc-11f0-85e9-e9560c876798,82.95045,NA,NA,7.73793,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:10:37,2025-10-02T22:10:37Z,2025-10-02T22:10:37Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,9b722cd3-2caa-41fd-a582-dea10d18cb43,55.36528,-124.65226,13.06036,5.59856,-1.31506,-10.59013,1.40369,0.21834,4.89473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2025-10-02,15:11:47,1,5,"Johns, Tanner",10103620,Left,GRA_CAN,"Ahern, Garrett",821903,Right,GRA_CAN,Undefined,1,Bottom,0,3,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.17713,-2.556121,0.371876,2032.326482,106.228174,09:30:00,5.5318,-1.41541,5.07338,-33.47065,6.36756,-17.47926,0.3311,-2.52142,78.24683,-8.623366,-2.724449,0.454278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79619,4.28158,1.39456,50,5.26299,-0.02814,-123.48885,-6.76666,13.55133,25.12258,-25.57789,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,ca612130-9fdc-11f0-85e9-e9560c876798,82.97224,NA,NA,6.9303,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:11:47,2025-10-02T22:11:47Z,2025-10-02T22:11:47Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,99dadbd4-e03a-4642-9b7d-56ca7b912772,55.42588,-124.5878,12.56129,5.53452,-5.64779,-12.78895,1.40875,-0.62093,6.77566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2025-10-02,15:13:46,2,5,"Johns, Tanner",10103620,Left,GRA_CAN,"Alexander, Aspen",1000342226,Right,GRA_CAN,Undefined,1,Bottom,1,3,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,85.03481,-1.039421,2.095924,2116.570795,116.309733,10:00:00,5.58429,-1.14502,5.24445,-29.76659,10.49564,-18.21611,2.12615,-0.69243,76.63851,-6.54737,-1.13549,0.456689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.70713,6.02028,0.96627,50,5.46721,-3.68792,-123.10948,-3.28535,14.65313,28.17994,-23.08628,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,1119d5e0-9fdd-11f0-85e9-e9560c876798,82.53419,NA,NA,8.3963,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:13:46,2025-10-02T22:13:46Z,2025-10-02T22:13:46Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,832d308b-494f-4556-8d7c-c6f2855e322a,55.25117,-124.30567,14.08997,5.58587,-2.30538,-11.54314,1.13602,-4.30992,7.32657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2025-10-02,15:22:03,1,5,"Gregory, Billy",1000396783,Right,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,2,Top,0,3,1,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,NA,80.01198,-2.138466,-4.646026,2468.920581,222.899497,01:30:00,5.34096,2.35903,6.14962,-29.21293,14.03139,11.80001,0.9232,-0.95993,73.7683,-7.581443,-2.526352,0.473299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.29237,8.23272,-2.01073,50,5.16261,8.98636,-115.90064,-5.16916,-9.9798,20.42419,-20.90736,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,397af180-9fde-11f0-85e9-e9560c876798,79.63764,NA,NA,6.24368,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:22:03,2025-10-02T22:22:03Z,2025-10-02T22:22:03Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,7424c73f-c014-48a0-98b9-ce55661b1a31,54.34885,-116.66449,10.21209,5.34131,-4.38724,-10.45368,-2.3538,9.35959,-4.9899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,2025-10-02,15:23:57,3,1,"Gregory, Billy",1000396783,Right,GRA_CAN,"Boever, Cael",830837,Right,GRA_CAN,Undefined,2,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.68929,-2.100135,-4.82174,2449.31433,236.212982,01:45:00,5.34214,2.49185,6.21907,-32.35888,11.35083,14.84926,0.69987,-0.73062,73.16745,-8.126152,-2.15003,0.475839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.02674,6.90197,-2.13729,50,5.16822,9.19789,-115.38406,-5.16577,-12.17381,21.39229,-22.8658,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,7d612540-9fde-11f0-85e9-e9560c876798,79.21251,NA,NA,6.52184,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:23:57,2025-10-02T22:23:57Z,2025-10-02T22:23:57Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,574dafaf-e8c9-4ecb-b55c-aa03abb0ee5d,54.2799,-116.17484,10.69615,5.34355,-4.32051,-11.4329,-2.48562,9.6479,-6.08691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2025-10-02,15:31:01,1,1,"Moeller, Luke",703666,Left,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,2,Bottom,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.43224,-2.579287,-3.72776,2015.48527,209.411198,01:00:00,5.97235,3.12582,5.96963,-20.17489,15.43792,8.0841,1.89309,0.3385,81.30456,-6.363477,-2.278765,0.429511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.10532,8.9376,-2.83454,50,5.75619,8.01178,-128.15717,-6.40055,-8.53846,25.09281,-17.22617,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,79ef3a90-9fdf-11f0-85e9-e9560c876798,87.75659,NA,NA,7.12768,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:31:01,2025-10-02T22:31:01Z,2025-10-02T22:31:01Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,2662519e-cbc7-456b-b069-ff272e1900e6,54.52826,-129.04074,12.5464,5.97089,-5.79398,-8.61309,-3.12195,8.31243,-4.26923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2025-10-02,15:31:20,1,2,"Moeller, Luke",703666,Left,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,2,Bottom,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,83.71976,-2.013329,-4.19269,1946.539622,251.630172,02:30:00,5.76633,3.74916,5.87643,-33.31077,6.39611,15.76103,1.11475,1.16164,77.52836,-8.134345,-1.369728,0.453528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.11575,4.1511,-3.41884,50,5.58374,8.27959,-121.39462,-5.37093,-13.73432,21.61376,-25.91976,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,855b4540-9fdf-11f0-85e9-e9560c876798,83.10941,NA,NA,6.1914,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:31:20,2025-10-02T22:31:20Z,2025-10-02T22:31:20Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,c106e635-513f-4901-bbf2-1e40196cb502,54.62423,-122.21517,10.80688,5.76897,-4.38691,-12.95988,-3.74306,8.801,-6.86716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2025-10-02,15:31:44,1,3,"Moeller, Luke",703666,Left,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,2,Bottom,0,1,1,Cutter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.75224,-1.975715,-3.540262,1646.952014,197.560258,12:30:00,6.09959,3.00827,5.88705,-26.99667,9.23658,2.57811,2.01104,-0.06845,80.87856,-6.966678,-3.07865,0.433237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2426,5.59886,-2.72391,50,5.92438,7.76477,-127.24245,-5.29925,-3.69746,24.72496,-22.94295,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,93750ad0-9fdf-11f0-85e9-e9560c876798,87.00199,NA,NA,6.87368,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:31:44,2025-10-02T22:31:44Z,2025-10-02T22:31:44Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,e094b29b-59bf-4163-a983-6b1be2748d64,54.6111,-128.13531,12.36248,6.10078,-4.47073,-11.47147,-3.00673,7.89829,-1.84873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2025-10-02,15:32:05,1,4,"Moeller, Luke",703666,Left,GRA_CAN,"Bates, Camden",806492,Right,GRA_CAN,Undefined,2,Bottom,0,1,2,FourSeamFastBall,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,88.38847,-3.001246,-4.485295,1959.969309,212.000772,01:00:00,6.1248,3.13482,5.81227,-18.53092,17.52206,10.22552,1.77864,-0.19235,80.97839,-6.488897,-2.660856,0.432157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.40926,10.09796,-2.77259,50,5.86689,9.59487,-127.86775,-7.28288,-10.64068,25.68184,-15.4093,GRA_CAN,GRA_CAN,BrazellField,TeamExclusive,Team,20251002-BrazellField-Private-2,a0536a30-9fdf-11f0-85e9-e9560c876798,87.21923,NA,NA,7.41008,NA,NA,NA,NA,NA,NA,b83723a8-161f-4502-b03c-5d09d5a7371a,2025-10-02,22:32:05,2025-10-02T22:32:05Z,2025-10-02T22:32:05Z,NA,v3,5310,5310,NA,"Aaron, Parker",10308979,Right,GRA_CAN,f11fe65f-090a-4299-bf6d-1828115b9d92,54.68563,-128.80541,12.84092,6.12252,-6.72028,-7.70465,-3.12999,9.98337,-5.32034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
