PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-10-17,11:53:12,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,0,InPlay,Fastball,NA,NA,93.68155,-2.64124,-5.840528,2528.773323,219.024446,01:15:00,6.01163,3.44852,6.07462,-15.67973,15.873,12.12607,2.24657,-0.96399,86.51782,-5.60046,-3.674461,0.404287,-7.71067,9.12977,-3.00176,50,5.79766,13.35566,-135.51585,-6.76489,-14.52508,26.00995,-14.97576,d2daf039-dd6f-4dae-a7c8-2b2115bf038e,NA,NA,NA,NA,-12.182857,806269,"Bastian, Jaden",NA,NA,94.15721,Right,-12.849484,NA,NA,NA,11.875,8.56145,0.087021,-8.450329,0.27134,2.67773,0.73228,NA,NA,NA,NA,NA,699dd190-ab71-11f0-9dba-2d858a8ce85b,1,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,GroundBall,Out,1,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,93.23188,2.67773,NA,7.16374,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:53:12,2025-10-17T15:53:12Z,2025-10-17T15:53:12Z,GroundBall,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.42688,-136.36287,13.00498,6.01002,-6.2772,-7.48788,-3.44439,13.82867,-7.26254,180,0.26776,131.86194,NA,NA,NA,NA,NA,NA,NA,2.67856,-30.77108,NA,NA,NA,NA,NA,NA,NA,0.73305,-28.46827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA,63.09481,13.89396,-13.79079
2,2025-10-17,11:53:38,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,0,StrikeCalled,Fastball,NA,NA,95.19282,-2.21336,-6.287178,2593.336055,236.512009,02:00:00,5.99648,3.2678,6.10212,-18.53777,12.20741,17.01064,2.39131,-1.15258,87.29445,-5.697601,-3.248584,0.39908,-10.37485,7.16158,-2.79115,50,5.81535,14.40589,-137.54803,-5.95224,-20.0088,28.60174,-18.36238,cd832a27-476d-4ccc-ab78-8dd4975ae94d,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797a7cd0-ab71-11f0-9dba-2d858a8ce85b,2,1,FLA_GAT,1,Top,1,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,94.4484,NA,NA,7.89837,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:53:38,2025-10-17T15:53:38Z,2025-10-17T15:53:38Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.39796,-138.45952,14.30087,5.99571,-5.36706,-9.18119,-3.2604,15.04354,-10.0044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-17,11:53:49,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,1,StrikeCalled,Slider,NA,NA,82.39125,-0.227431,-2.663442,2809.443289,101.4832,09:30:00,5.53335,3.69441,5.77378,-37.84215,3.37473,-10.65477,2.16798,0.32627,76.07288,-7.166931,-4.568485,0.462071,4.72347,2.16394,-3.46776,50,5.49167,5.98338,-119.63891,-1.73227,6.87076,22.30438,-29.02638,6ad19514-35fc-4c06-bf3d-a57dfb62f1db,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7fd62480-ab71-11f0-9dba-2d858a8ce85b,2,2,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,81.57277,NA,NA,6.31837,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:53:49,2025-10-17T15:53:49Z,2025-10-17T15:53:49Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.72611,-120.51679,11.15219,5.53737,-0.58983,-14.51319,-3.69794,5.71296,3.43538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-17,11:54:00,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,2,BallCalled,Slider,NA,NA,84.4669,-0.653994,-5.107141,2839.737274,85.520204,08:45:00,5.59646,3.32555,5.52792,-39.30581,0.38744,-9.24733,1.70714,-2.23209,78.38032,-7.771473,-6.743582,0.45345,3.37268,0.69787,-2.87421,50,5.51298,11.30743,-122.30463,-2.79983,5.14359,22.57414,-31.10976,4f05ee07-2a5a-4f28-b933-2f3a78275a0a,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86b5a230-ab71-11f0-9dba-2d858a8ce85b,2,3,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,83.12365,NA,NA,6.08658,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:54:00,2025-10-17T15:54:00Z,2025-10-17T15:54:00Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.97313,-123.21912,11.28707,5.60088,-1.53956,-15.55488,-3.32806,11.09907,2.57179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-17,11:54:12,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,1,2,FoulBallNotFieldable,ChangeUp,NA,NA,82.73073,-1.126405,-4.071151,2390.743497,255.499931,02:30:00,5.58214,3.18303,6.44077,-33.57966,6.23489,19.53025,1.74603,1.06324,76.37828,-7.380995,-0.535121,0.454143,-11.38536,3.87973,-2.90248,50,5.48664,7.87221,-120.14093,-3.34154,-16.74574,21.89851,-26.46772,d64e1e33-2e99-4d50-8dde-e832430c19df,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8dcfb7e0-ab71-11f0-9dba-2d858a8ce85b,2,4,FLA_GAT,1,Top,1,Changeup,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,82.99692,NA,NA,6.35245,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:54:12,2025-10-17T15:54:12Z,2025-10-17T15:54:12Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.06187,-120.87904,10.94926,5.58424,-2.44942,-13.23386,-3.17733,8.43664,-8.37287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-17,11:54:30,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,1,2,InPlay,Fastball,NA,NA,94.86615,-1.913376,-6.094151,2348.255704,245.550269,02:15:00,5.96959,3.17365,6.03738,-20.69119,10.24249,20.45938,2.46291,-0.78564,87.15382,-5.778945,-2.439455,0.400301,-12.13446,6.0467,-2.70773,50,5.80812,13.76651,-137.20334,-5.31346,-23.32263,27.99802,-20.55222,b3958eae-b213-48b2-8140-08bac7fb720a,NA,NA,NA,NA,0.457762,833422,"Miller, Sam",NA,NA,98.76734,Right,-12.603989,NA,NA,NA,14.16345,12.36021,0.091191,1.545977,1.24294,2.88796,0.27893,NA,NA,NA,NA,NA,984a36a0-ab71-11f0-9dba-2d858a8ce85b,2,5,FLA_GAT,1,Top,1,Sinker,Undefined,GroundBall,Single,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,94.16014,2.88796,NA,7.71232,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:54:30,2025-10-17T15:54:30Z,2025-10-17T15:54:30Z,GroundBall,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.46459,-138.11139,13.99901,5.96964,-4.6469,-10.27611,-3.16648,14.52292,-11.66131,180,1.23904,141.62906,NA,NA,NA,NA,NA,NA,NA,2.88883,-31.66921,NA,NA,NA,NA,NA,NA,NA,0.2789,1.13156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Medium,NA,NA,NA,66.83486,7.92717,-4.09843
7,2025-10-17,11:55:07,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,0,StrikeCalled,Slider,NA,NA,83.28213,-0.247425,-3.73329,2708.238078,74.962323,08:30:00,5.55461,3.86228,5.87678,-42.24943,-1.9865,-11.71453,1.80354,-0.58613,77.08708,-7.961309,-5.82807,0.456693,5.01209,-0.6039,-3.55334,50,5.51003,8.33905,-120.85722,-1.94249,7.43486,22.90889,-33.06984,a305dec7-63f1-4ac8-b31b-1c65cc100d7e,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ae9463e0-ab71-11f0-9dba-2d858a8ce85b,3,1,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,82.53348,NA,NA,6.19505,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:55:07,2025-10-17T15:55:07Z,2025-10-17T15:55:07Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.62458,-121.73067,11.45445,5.56005,-0.68164,-16.53492,-3.86588,8.05557,3.71743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-17,11:55:28,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,0,1,BallCalled,Slider,NA,NA,82.59983,-0.74979,-4.218318,2779.714921,96.525169,09:15:00,5.4568,3.68191,5.76358,-38.26352,2.94532,-15.30969,1.56839,-1.5271,76.45106,-7.727959,-6.9444,0.462026,6.68894,2.07071,-3.32263,50,5.37128,9.42633,-119.7432,-2.8424,9.73152,22.68136,-29.16142,191e85f5-5833-4e2c-96c9-512ffc21891c,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baf22190-ab71-11f0-9dba-2d858a8ce85b,3,2,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,81.58072,NA,NA,6.14877,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:55:28,2025-10-17T15:55:28Z,2025-10-17T15:55:28Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.73719,-120.63716,11.34068,5.46066,-1.69303,-14.58071,-3.68661,9.04277,4.86576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-10-17,11:55:46,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,1,1,BallCalled,ChangeUp,NA,NA,82.1274,-1.474286,-3.524059,2191.758353,250.801649,02:15:00,5.49939,3.47648,6.38071,-31.72923,8.83264,21.80147,1.49614,2.04721,75.65783,-7.396502,0.422669,0.458385,-12.54324,5.33587,-3.23298,50,5.37799,6.60262,-119.29874,-3.98065,-18.13201,22.29346,-24.4607,52e18c40-4654-41dd-9e76-0ff6f236e7ee,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c5ebbb60-ab71-11f0-9dba-2d858a8ce85b,3,3,FLA_GAT,1,Top,1,Changeup,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,82.22877,NA,NA,6.46957,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:55:46,2025-10-17T15:55:46Z,2025-10-17T15:55:46Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.12249,-120.06664,11.14673,5.50059,-3.1381,-12.23035,-3.47116,7.22718,-9.06601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.25717,NA,1.573376,NA,7.03134,2.19073,-2.02646,-1.94448,6.01743,1.38718,NA,NA,NA,-1.9402,71.98625,-4.54172,6.01764,-6.12247,-9.92739,1.39432,53.07295,-6.99011,High,High,High,NA,NA,High,Medium,Low,NA,NA,NA
10,2025-10-17,11:56:18,"Sandefer, Russell",824531,Right,FLA_GAT,Undefined,2,1,StrikeCalled,Fastball,NA,NA,94.69934,-2.03357,-5.735682,2459.479145,239.509131,02:00:00,5.82255,3.19664,6.01866,-19.31288,11.85438,18.4582,2.31923,-0.5958,86.66453,-5.659661,-2.437272,0.40181,-11.0202,6.93768,-2.75583,50,5.65179,12.94456,-136.95453,-5.52845,-21.01439,29.11303,-18.94464,385b8411-0a2e-4f3e-8f64-f1c789e36a44,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d8fa1e90-ab71-11f0-9dba-2d858a8ce85b,3,4,FLA_GAT,1,Top,1,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251017-CondronBallpark-Private-1,93.8066,NA,NA,8.0348,NA,NA,NA,3be26715-7c4e-404d-967c-cb57b54ff69d,2025-10-17,15:56:18,2025-10-17T15:56:18Z,2025-10-17T15:56:18Z,NA,v3,471297,471297,NA,"Stanford, Cole",1000098001,Right,FLA_GAT,54.48178,-137.90395,14.55651,5.82201,-4.91064,-9.47232,-3.18915,13.62988,-10.5072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
