PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-10-29,15:52:42,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,0,0,BallCalled,Fastball,NA,NA,93.15308,-1.079689,-4.544646,2104.556567,278.23431,03:15:00,5.23298,1.99974,5.80592,-34.18144,-1.42953,17.72336,1.37715,-0.75865,84.52497,-7.366302,-1.376241,0.411898,-10.4539,-0.07142,-1.63684,50,5.12374,9.9253,-134.83656,-3.85052,-19.0471,32.14323,-32.30414,c141a6ec-03f1-4f5c-8bbb-a8690c345c10,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d4d03e10-b500-11f0-a5aa-9381f9cb7aa3,1,1,FLA_GAT,1,Top,0,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,91.50916,NA,NA,8.62811,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:52:42,2025-10-29T19:52:42Z,2025-10-29T19:52:42Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.69412,-135.95097,16.07162,5.23782,-2.73053,-16.15207,-1.9924,10.58567,-9.52355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-10-29,15:52:57,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,1,0,FoulBallNotFieldable,Cutter,NA,NA,84.31123,0.048328,-1.612286,2494.0015,94.39941,09:15:00,5.4272,1.9833,5.26648,-38.49482,1.60689,-5.22174,2.26472,0.03317,77.61414,-6.955802,-2.538895,0.455777,2.20728,1.0924,-1.83169,50,5.40292,3.66374,-122.42831,-1.30488,3.35897,23.57178,-30.51163,ab0c4fa9-4e0f-4212-8b42-576754203032,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ddc1abd0-b500-11f0-a5aa-9381f9cb7aa3,1,2,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,82.69924,NA,NA,6.6971,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:52:57,2025-10-29T19:52:57Z,2025-10-29T19:52:57Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,55.23463,-123.43204,11.78589,5.43082,-0.00563,-15.25582,-1.98466,3.52071,1.67948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-29,15:53:14,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,1,1,InPlay,Cutter,NA,NA,85.66777,0.51044,-2.255198,2400.24349,102.147805,09:30:00,5.52105,2.0063,5.53398,-36.83998,1.14465,-0.7248,2.92856,-0.1632,79.7368,-6.203472,-2.384343,0.443583,-0.15142,0.73906,-1.80995,50,5.54042,4.93494,-124.55866,-0.21731,-0.24186,21.11688,-30.99364,16dda0c4-6333-4eb1-8c77-2a1296353478,NA,NA,NA,NA,14.317507,812807,"Jones, Kyle",NA,NA,93.78094,Right,-18.583517,NA,NA,NA,9.09887,7.93679,0.067379,15.551046,0.23493,2.96016,0.26212,NA,NA,NA,NA,NA,e79da0a0-b500-11f0-a5aa-9381f9cb7aa3,1,3,FLA_GAT,1,Top,0,Slider,Undefined,GroundBall,Out,1,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,84.97259,2.96016,NA,5.93098,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:53:14,2025-10-29T19:53:14Z,2025-10-29T19:53:14Z,GroundBall,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.968,-125.39807,10.55844,5.52457,1.01471,-15.49682,-2.00632,4.94456,-0.12093,180,0.23182,126.61072,NA,NA,NA,NA,NA,NA,NA,2.96123,-43.93323,NA,NA,NA,NA,NA,NA,NA,0.26132,32.31387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA,NA,NA,NA
4,2025-10-29,15:53:46,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,0,0,BallCalled,Fastball,NA,NA,93.98473,-1.275659,-4.660243,2087.535025,280.877293,03:15:00,5.28343,2.05521,5.95106,-34.08781,-2.36882,17.57056,1.25554,-0.81229,86.07745,-7.536937,-1.510845,0.405351,-10.39186,-0.59811,-1.69398,50,5.1623,10.34235,-136.18548,-4.32087,-19.49443,30.21844,-33.29605,b99d49f1-81fc-4e98-b463-1b507b5e8cc1,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fac690b0-b500-11f0-a5aa-9381f9cb7aa3,2,1,FLA_GAT,1,Top,1,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,92.98715,NA,NA,7.90728,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:53:46,2025-10-29T19:53:46Z,2025-10-29T19:53:46Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.55094,-137.19158,15.10922,5.2877,-3.2123,-16.64803,-2.04912,10.9914,-9.74721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-29,15:54:00,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,1,0,BallCalled,ChangeUp,NA,NA,82.6977,0.177223,-2.132727,1601.990019,270.371277,03:00:00,5.14266,2.10085,6.15939,-39.28534,1.15736,17.17387,2.03272,1.56085,75.83068,-7.101886,0.967455,0.457711,-9.44985,0.9615,-1.94732,50,5.13627,3.81949,-120.17344,-0.87613,-13.79944,23.59836,-30.77001,ced125ed-bd77-4c63-9122-b19bb65e7f4b,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,02fd8810-b501-11f0-a5aa-9381f9cb7aa3,2,2,FLA_GAT,1,Top,1,Changeup,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,82.34983,NA,NA,6.86702,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:54:00,2025-10-29T19:54:00Z,2025-10-29T19:54:00Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.34087,-121.02285,11.79918,5.14787,0.23142,-15.385,-2.09374,4.31619,-6.89972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-29,15:54:19,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,2,0,BallCalled,Fastball,NA,NA,90.60215,-1.193094,-2.598483,2039.142749,277.026164,03:15:00,5.20099,1.99315,5.97807,-34.49155,-0.74264,14.0815,1.21942,0.75621,83.62461,-7.530365,-0.064879,0.41812,-7.94201,0.22524,-1.79547,50,5.08733,5.38751,-131.64528,-3.98452,-14.01198,26.54655,-31.77667,db2e9c85-d85c-49f7-96af-97ec090e3cd1,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0e2b5140-b501-11f0-a5aa-9381f9cb7aa3,2,3,FLA_GAT,1,Top,1,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,90.14737,NA,NA,6.97754,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:54:19,2025-10-29T19:54:19Z,2025-10-29T19:54:19Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.52355,-132.55432,13.27327,5.20514,-2.89638,-15.88833,-1.98817,5.86733,-7.00599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-10-29,15:54:36,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,3,0,StrikeCalled,Fastball,NA,NA,91.06568,-0.024205,-3.462989,2126.994256,272.936898,03:00:00,5.29279,1.92246,6.08082,-33.17951,0.07539,17.47076,2.50539,0.17053,83.90735,-6.148776,-0.31946,0.415049,-9.88288,0.36087,-1.66363,50,5.27337,7.27114,-132.28343,-1.23715,-17.63881,26.30377,-31.52996,4b62113d-8cd3-46fd-9baf-070662c8e426,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18863a10-b501-11f0-a5aa-9381f9cb7aa3,2,4,FLA_GAT,1,Top,1,Sinker,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,90.81448,NA,NA,7.15833,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:54:36,2025-10-29T19:54:36Z,2025-10-29T19:54:36Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.42079,-133.15957,13.15189,5.29708,-0.18693,-15.76498,-1.91561,7.85867,-8.81941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-29,15:54:47,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,3,1,StrikeSwinging,Cutter,NA,NA,84.28781,0.330792,-2.470853,2243.986328,49.239002,07:45:00,5.53193,1.60832,5.30598,-41.49731,-1.46051,-3.06028,2.38463,-0.96756,77.74706,-7.202167,-3.013803,0.455408,0.88417,-0.46874,-1.38158,50,5.53163,5.40928,-122.35082,-0.83211,1.34678,23.03914,-32.88804,2219ed02-3109-4959-a3d4-6064440ec702,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1f59a9d0-b501-11f0-a5aa-9381f9cb7aa3,2,5,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,82.76624,NA,NA,6.54075,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:54:47,2025-10-29T19:54:47Z,2025-10-29T19:54:47Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,55.19454,-123.32509,11.51957,5.53741,0.55865,-16.44402,-1.60913,5.35233,0.67339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-10-29,15:55:03,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,3,2,BallCalled,Fastball,NA,NA,92.41636,0.415232,-4.864417,2087.72084,295.560812,03:45:00,5.23411,1.95427,5.9377,-38.48038,-5.73906,14.10717,2.41402,-1.39365,84.7239,-6.63976,-2.340381,0.411831,-8.69126,-2.89378,-1.5739,50,5.24497,10.8145,-133.95258,-0.44781,-15.81055,28.60844,-37.43821,9f10e26d-931d-4ee5-9698-ca2cc996e955,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28bac950-b501-11f0-a5aa-9381f9cb7aa3,2,6,FLA_GAT,1,Top,1,Sinker,Walk,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,91.52398,NA,NA,7.69247,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:55:03,2025-10-29T19:55:03Z,2025-10-29T19:55:03Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,54.56553,-134.92412,14.30422,5.23859,0.8236,-18.7191,-1.95028,11.35143,-7.90528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-10-29,15:55:35,"Barlow, Billy",701775,Right,FLA_GAT,Undefined,0,0,BallCalled,Cutter,NA,NA,86.23397,1.498153,-2.742506,2353.498397,166.443363,11:30:00,5.65228,1.88256,5.20233,-30.98651,7.65209,-1.55461,4.48105,-0.82835,78.72838,-4.190061,-3.01726,0.447386,0.01476,3.77047,-1.62724,50,5.76801,6.05578,-124.97027,2.13086,0.02337,25.0632,-26.20823,9bbc4a8b-ac82-4266-9418-9d6aecc80b22,NA,NA,NA,NA,NA,833422,"Miller, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3b773bf0-b501-11f0-a5aa-9381f9cb7aa3,3,1,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251029-CondronBallpark-Private-5,84.25041,NA,NA,7.50558,NA,NA,NA,17a8095b-d059-4b15-9f32-117e0adef5f4,2025-10-29,19:55:35,2025-10-29T19:55:35Z,2025-10-29T19:55:35Z,NA,v3,471297,471297,NA,"Heyman, Luke",701326,Right,FLA_GAT,55.29536,-126.02779,12.5316,5.65477,3.2367,-13.10411,-1.88275,6.05479,0.01169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
