PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-10-09,13:15:51,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,0,FoulBallNotFieldable,Fastball,NA,NA,91.26567,-1.851335,-2.692748,1874.229779,209.575244,01:00:00,6.30679,2.5773,5.18514,-19.30655,14.52477,7.74717,2.9536,0.68764,85.05685,-5.399358,-1.322181,0.418631,-4.48666,7.95071,-2.33326,50,6.12005,5.88415,-132.57027,-5.0052,-8.15667,22.6135,-17.71971,32544ea2-30e8-4cc1-936d-9110a293ec55,NA,NA,NA,NA,63.563731,701331,"Cyr, Blake",4926.579333,NA,75.52015,Right,57.234343,NA,NA,NA,NA,61.78676,NA,NA,1.44456,2.95624,-0.68828,NA,NA,NA,NA,NA,7e7ea6f0-a533-11f0-ba78-370000ced80a,1,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,90.03746,82.87418,NA,6.20883,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:15:51,2025-10-09T17:15:51Z,2025-10-09T17:15:51Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.31653,-133.47407,11.30675,6.30595,-4.297,-8.85986,-2.57494,6.21014,-4.07833,NA,1.44454,26.69079,-12.0027,3.99181,-2.33259,2.68147,-2.20775,0.96031,-0.16817,2.95624,93.13887,-25.28382,2.67732,-0.25013,-0.36797,0.3902,-0.18083,0.03295,-0.68828,53.67649,-5.28818,0.8059,0.04805,-0.25103,0.23192,-0.10503,0.01895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,74.84938,2.72889,9.16982
2,2025-10-09,13:16:08,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,1,FoulBallNotFieldable,Curveball,NA,NA,77.01046,1.977586,-2.497153,2384.701307,22.930714,06:45:00,6.08775,2.65167,4.99113,-61.30366,-12.77662,-5.99418,2.84888,-0.20717,71.33882,-9.020506,-3.554985,0.501376,2.32453,-6.48615,-2.40597,50,6.22762,5.11303,-111.7611,1.65218,2.95479,19.1953,-40.41891,e28093f1-162e-4ba6-9716-f3f2e63a3067,NA,NA,NA,NA,NA,701331,"Cyr, Blake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88c71930-a533-11f0-ba78-370000ced80a,1,2,FLA_GAT,1,Top,0,Curveball,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,75.17802,NA,NA,5.67164,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:16:08,2025-10-09T17:16:08Z,2025-10-09T17:16:08Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.51307,-112.70401,9.59765,6.09769,3.63762,-20.20946,-2.65357,4.96788,1.4774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-09,13:16:37,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,2,StrikeSwinging,Fastball,NA,NA,92.22446,-1.820197,-3.816778,1854.730317,211.509367,01:00:00,6.18201,2.60625,5.2285,-14.75591,18.9934,10.9843,3.23687,-0.07172,84.27009,-4.607814,-1.875964,0.418123,-6.51205,10.29567,-2.26267,50,6.00336,8.3891,-133.53982,-4.73602,-11.79248,27.99603,-13.52998,7bb66d20-d829-4041-bcc1-c154477feab5,NA,NA,NA,NA,NA,701331,"Cyr, Blake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99f23d70-a533-11f0-ba78-370000ced80a,1,3,FLA_GAT,1,Top,0,Four-Seam,Strikeout,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,90.14681,NA,NA,7.95437,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:16:37,2025-10-09T17:16:37Z,2025-10-09T17:16:37Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.27006,-134.64013,13.99802,6.17904,-4.20426,-6.76499,-2.60149,8.85257,-5.89624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-09,13:16:55,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,0,BallCalled,Curveball,NA,NA,78.31127,3.193838,-0.672005,2507.147712,20.666384,06:45:00,6.11529,2.68817,4.6938,-59.21121,-11.64757,-4.93055,4.21659,1.63926,71.98577,-7.415557,-1.53767,0.496374,2.22925,-6.10807,-2.61529,50,6.38574,1.54247,-113.54166,4.06806,2.92036,20.10423,-40.17569,7ded839c-5807-4326-8db8-5c244323861a,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a4ea77b0-a533-11f0-ba78-370000ced80a,2,1,FLA_GAT,1,Top,1,Curveball,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,75.93558,NA,NA,6.3255,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:16:55,2025-10-09T17:16:55Z,2025-10-09T17:16:55Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.80898,-114.56561,10.05211,6.12643,6.11429,-20.08785,-2.69007,1.39373,1.46018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-09,13:17:09,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,1,0,BallCalled,Curveball,NA,NA,76.48151,2.73334,-2.365222,2481.469323,33.257595,07:00:00,6.02521,2.99904,4.81876,-63.00456,-12.98024,-9.54945,3.36806,-0.0384,70.11151,-8.569509,-4.04371,0.509052,3.99673,-6.67099,-2.75544,50,6.24218,4.97096,-110.79334,2.97123,4.94615,20.60355,-40.42974,4deccc2a-fa48-47d1-832d-816c12733c92,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acdd1310-a533-11f0-ba78-370000ced80a,2,2,FLA_GAT,1,Top,1,Curveball,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,74.04441,NA,NA,6.37,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:17:09,2025-10-09T17:17:09Z,2025-10-09T17:17:09Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.68394,-111.84535,10.30178,6.03777,5.03556,-20.21487,-3.00281,4.71842,2.47308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-09,13:17:24,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,2,0,InPlay,ChangeUp,NA,NA,82.78504,-0.633645,-3.381302,1261.222952,237.704832,02:00:00,5.84279,3.32512,5.20845,-34.00596,7.60004,10.08288,2.41201,0.98184,76.40756,-6.833061,-1.597264,0.464247,-5.93185,4.31185,-3.02012,50,5.7584,6.67564,-120.07559,-2.53825,-8.73143,21.46577,-25.82718,64609cba-f1ab-49fb-a9c4-bd66d4603ba8,NA,NA,NA,NA,-22.609005,807116,"Lawson, Brendan",3892.748531,NA,94.44182,Left,16.209587,97.56052,27.92154,-50.81279,280.76409,210.168,3.193452,-35.355865,1.09852,2.42142,-0.91242,NA,NA,NA,NA,NA,b6132af0-a533-11f0-ba78-370000ced80a,2,3,FLA_GAT,1,Top,1,Changeup,Undefined,LineDrive,Single,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,81.19044,32.04818,NA,6.37748,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:17:24,2025-10-09T17:17:24Z,2025-10-09T17:17:24Z,LineDrive,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.29213,-121.01796,10.73288,5.84495,-1.40441,-12.91359,-3.3216,7.05896,-4.36572,132.378109,1.09865,122.78371,-28.4594,6.66411,-1.52548,0.37277,-0.08712,0.01378,-9.6e-4,2.42125,38.67053,-12.34058,-0.5745,0.46167,-0.21542,0.07058,-0.01265,9.4e-4,-0.91226,-51.13741,-2.07468,1.71293,-0.68779,0.24599,-0.06969,0.01189,-8.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA
7,2025-10-09,13:17:46,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,0,FoulBallNotFieldable,Fastball,NA,NA,92.02517,-2.089171,-3.045936,1943.304478,210.302612,01:00:00,6.21262,2.71636,5.25314,-16.61241,17.0406,9.36623,2.86156,0.63212,84.61211,-5.191646,-1.387833,0.417526,-5.49111,9.38343,-2.44414,50,6.00879,6.66785,-133.42935,-5.45175,-9.9754,26.64159,-15.1277,99e6f5fb-1151-4a09-ac8c-a2a18d9b4a76,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c33bb2b0-a533-11f0-ba78-370000ced80a,3,1,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,90.2757,NA,NA,7.41306,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:17:46,2025-10-09T17:17:46Z,2025-10-09T17:17:46Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.24689,-134.47291,13.32079,6.21073,-4.85919,-7.56385,-2.71297,7.05859,-4.9877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-09,13:18:04,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,1,BallCalled,Slider,NA,NA,82.9022,0.06404,-3.904253,2293.240283,75.820786,08:30:00,6.06645,2.85696,4.95871,-42.32727,-0.52394,-6.59792,2.59982,-1.38721,77.03865,-7.538442,-5.063755,0.465347,2.32244,0.05039,-2.47259,50,6.03748,8.48504,-120.19983,-1.47266,3.43584,20.85315,-32.09947,2ed17ad8-f789-4b12-97f4-cd5586f05e05,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cda4a540-a533-11f0-ba78-370000ced80a,3,2,FLA_GAT,1,Top,1,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,80.99856,NA,NA,5.86355,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:18:04,2025-10-09T17:18:04Z,2025-10-09T17:18:04Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.54279,-121.15762,10.42658,6.07126,0.00167,-16.04974,-2.85868,8.32723,1.71792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-10-09,13:18:18,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,1,1,InPlay,Slider,NA,NA,82.4278,0.326102,-2.763961,2336.16853,85.217599,08:45:00,6.1013,2.83615,4.95829,-40.96778,0.7339,-3.20693,2.99578,-0.04445,77.32619,-7.030409,-3.328927,0.464781,1.01827,0.5711,-2.56548,50,6.0986,5.91815,-119.80462,-0.86157,1.515,18.00391,-31.32435,9c079395-bf12-456e-8368-1c2c163fc660,NA,NA,NA,NA,5.937003,812807,"Jones, Kyle",4178.321774,NA,87.15989,Right,33.293567,107.26941,65.98565,24.35699,268.92638,257.39555,5.054214,26.502917,1.31515,3.08727,0.05322,NA,NA,NA,NA,NA,d63443f0-a533-11f0-ba78-370000ced80a,3,3,FLA_GAT,1,Top,1,Slider,Undefined,FlyBall,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,81.09725,79.93184,NA,5.10161,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:18:18,2025-10-09T17:18:18Z,2025-10-09T17:18:18Z,FlyBall,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.54446,-120.63494,9.00196,6.10503,0.58309,-15.66218,-2.83681,5.84828,0.7575,219.882946,1.31818,106.21542,-24.50705,5.09366,-0.78504,0.04787,0.00337,-3.2e-4,-1e-5,3.08343,70.2491,-18.24049,1.34813,-0.32116,0.1003,-0.01753,0.00153,-6e-5,0.05253,11.07018,9.4655,-3.91059,1.09354,-0.21272,0.0275,-0.00192,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,66.01275,5.46748,-14.03782
10,2025-10-09,13:18:43,"McDonald, Caden",803724,Right,FLA_GAT,Undefined,0,0,StrikeSwinging,Fastball,NA,NA,91.82519,-2.503424,-3.511976,1733.435008,207.476868,01:00:00,6.19965,2.4798,5.49332,-17.28147,16.29339,7.9413,2.41182,-0.14779,84.41262,-5.734447,-2.100963,0.417041,-4.92776,9.19099,-2.17769,50,5.96856,7.80872,-133.06265,-6.40969,-8.89429,26.75388,-15.58486,dabd3ebb-bc1f-43fe-984e-3d9e4d146d54,NA,NA,NA,NA,NA,804404,"Kurland, Cade",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e53694c0-a533-11f0-ba78-370000ced80a,4,1,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251009-CondronBallpark-Private-1,90.38075,NA,NA,7.41258,NA,NA,NA,b2333222-a72d-441d-b87a-d3758a269f59,2025-10-09,17:18:43,2025-10-09T17:18:43Z,2025-10-09T17:18:43Z,NA,v3,471297,471297,NA,"Malzone, Aj",1000352389,Right,FLA_GAT,55.00617,-134.06542,13.37694,6.19785,-5.82554,-7.79243,-2.47662,8.14209,-4.44715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
