PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-08-09,17:19:24,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,59.93051,0.699683,0.973224,2492.446304,175.310325,11:45:00,3.49168,-0.47978,22.05432,-24.16856,12.83166,-0.97421,1.92999,0.06818,55.88555,-5.742426,0.722159,0.437798,92.94946,9.750009,8.993403,4617.60194,108.52014,10.30884,17.98236,187.63855,187.63855,9.699762,1.629903,1.3235,13.67072,0.6816,50,3.17234,-1.62106,-89.62633,3.83256,1.06298,14.47853,-21.19437,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,aba7e990-757f-11f0-8f34-cd86955e6048,86.09554,10.54331,NA,4.04497,NA,NA,NA,2.01979,1.96298,4.2e-4,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:24,2025-08-10T00:19:24Z,2025-08-10T00:19:24Z,LineDrive,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,b40aba4e-7ae1-40d7-82c2-7fa0571b78a0,38.44739,-87.74024,7.23926,3.49177,1.07161,-10.59719,0.47945,-1.48259,0.53149,218.730194,2.01979,132.70437,-16.53315,3.2487,-0.50094,-0.17335,0.22511,-0.09763,0.01583,1.96298,23.08697,-16.14455,0.9109,-0.2031,0.19346,-0.15276,0.06319,-0.01016,4.2e-4,21.00317,-0.35925,-0.63738,0.09212,0.22798,-0.23969,0.10305,-0.01672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-08-09,17:19:27,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,60.32904,1.309391,1.31687,2313.274986,175.830445,11:45:00,3.48237,-0.48535,NA,-24.83993,11.01678,-0.74595,2.25621,0.30093,56.86271,-5.290663,1.124054,0.43098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13961,11.70075,0.75845,50,3.02589,-2.14807,-89.97337,4.96407,0.9379,12.56422,-22.54423,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,adc8f4d0-757f-11f0-8f34-cd86955e6048,87.45759,NA,NA,3.46633,NA,NA,NA,NA,NA,NA,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:27,2025-08-10T00:19:27Z,2025-08-10T00:19:27Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,d98e531a-2c78-4b50-857d-58422a13a0b9,38.3216,-88.3275,6.28211,3.48274,2.01086,-11.27211,0.48511,-2.02521,0.46895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-08-09,17:19:31,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,60.51239,1.562485,0.861683,2143.950836,175.808965,11:45:00,3.52783,-0.48527,NA,-24.2969,11.49886,-0.78378,2.51115,0.00519,56.87949,-4.900025,0.659292,0.430613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06268,12.09764,0.66506,50,3.02663,-1.44103,-90.28666,5.29727,0.87815,13.01055,-22.17723,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,b00b1ca0-757f-11f0-8f34-cd86955e6048,87.53203,NA,NA,3.63291,NA,NA,NA,NA,NA,NA,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:31,2025-08-10T00:19:31Z,2025-08-10T00:19:31Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,e19e9880-5509-4704-a8d2-23a6137b0622,38.36491,-88.59415,6.50528,3.52809,2.41228,-11.08862,0.48503,-1.32679,0.43907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-08-09,17:19:35,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,59.98283,1.609632,1.052031,2173.053267,185.485741,12:15:00,3.51335,-0.47437,22.14319,-24.56171,11.89788,1.06323,2.50493,0.29269,56.3408,-4.927333,1.326562,0.434588,69.94435,49.878941,-45.380272,4314.058909,70.79512,74.39453,-84.1904,197.42778,63.21421,-53.840749,4.163559,-0.82831,12.50827,0.68145,50,3.0001,-1.53185,-89.51411,5.35708,-0.6718,12.96771,-22.02906,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,b2550ca0-757f-11f0-8f34-cd86955e6048,86.73153,74.67321,NA,3.64203,NA,NA,NA,2.39845,2.67239,-0.10753,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:35,2025-08-10T00:19:35Z,2025-08-10T00:19:35Z,Popup,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,c3b3e00e-a214-412c-8c48-787a44c04844,38.3594,-87.81157,6.48386,3.51357,2.46487,-11.01453,0.47454,-1.62005,-0.3359,NA,2.39838,46.44151,-10.82626,3.10996,-0.92734,0.3257,-0.09101,0.01451,-9.5e-4,2.67565,78.35845,-24.76837,1.86849,0.38826,-0.39556,0.12309,-0.01792,0.00101,-0.1074,-47.0634,6.24805,-2.30999,0.83129,-0.31644,0.09054,-0.01469,9.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
5,2025-08-09,17:19:39,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,60.00886,1.7975,1.258412,2210.963346,181.210447,12:00:00,3.48425,-0.48355,NA,-25.91277,10.61308,0.20646,2.48528,0.34573,56.29967,-5.087672,1.311687,0.434982,66.55828,51.04625,-41.71295,4366.384687,74.6034,81.42505,-80.83514,203.62962,82.80495,-50.199694,4.575972,0.13996,11.07942,0.73744,50,2.92623,-1.94581,-89.56095,5.78295,0.11344,13.18403,-23.19363,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,b4adf0c0-757f-11f0-8f34-cd86955e6048,86.65283,81.42309,NA,3.70918,NA,NA,NA,2.40812,3.29797,-0.67554,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:39,2025-08-10T00:19:39Z,2025-08-10T00:19:39Z,Popup,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,d1c35386-84f5-40ad-be3e-9008009b9053,38.38081,-87.83387,6.59201,3.48478,2.74463,-11.59681,0.48351,-1.93095,0.05672,151.404815,2.41306,45.6911,-8.96975,1.36136,0.55766,-0.45208,0.13216,-0.01802,9.5e-4,3.29587,75.95261,-21.2755,1.93479,-0.33737,-0.01328,0.0302,-0.00683,4.9e-4,-0.67583,-40.82781,2.58829,-0.26615,-0.08751,0.06325,-0.01809,0.00258,-1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
6,2025-08-09,17:19:45,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.47797,1.538933,1.023911,2171.40266,183.167536,12:00:00,3.51345,-0.49377,NA,-23.41108,12.23012,0.62661,2.56423,0.22472,57.22743,-4.669014,1.184262,0.429683,60.85553,51.819265,-69.08087,4152.974077,33.53369,45.17972,-104.76397,143.74849,48.94839,-73.392165,3.582015,-0.32583,12.5878,0.69242,50,3.04605,-1.57925,-91.8572,5.09861,-0.27514,15.09305,-21.54479,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,b83b3630-757f-11f0-8f34-cd86955e6048,87.7216,57.97633,NA,4.25054,NA,NA,NA,2.00318,2.61159,-0.21261,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:45,2025-08-10T00:19:45Z,2025-08-10T00:19:45Z,Popup,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,a1bf6e0b-dbb7-4d10-84f7-e2adc181a301,38.69143,-89.97991,7.54652,3.51357,2.41884,-10.7724,0.49386,-1.61347,-0.13757,NA,2.00307,19.70543,-4.86514,1.27265,-0.37647,0.10828,-0.01259,-0.00209,4.8e-4,2.6111,70.17505,-26.1562,3.43592,-0.95713,0.30622,-0.08794,0.01541,-0.00111,-0.21216,-51.54922,6.69413,-1.58605,0.46389,-0.16086,0.04059,-0.00513,2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
7,2025-08-09,17:19:49,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.33673,1.054623,0.916558,2142.614152,175.719361,11:45:00,3.49048,-0.47535,22.07936,-23.14895,11.8502,-0.82634,2.2428,0.04789,57.58052,-5.100251,0.703484,0.425795,82.65991,22.396945,-14.2148,4272.419445,104.67097,34.36532,-33.82242,250.28245,249.46579,-22.21376,3.163117,1.12713,12.55512,0.66554,50,3.10424,-1.55284,-91.56772,4.40087,0.95553,13.70874,-21.53021,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,badbaaa0-757f-11f0-8f34-cd86955e6048,88.52256,36.16526,NA,3.75621,NA,NA,NA,1.9174,2.35547,-0.07436,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:19:49,2025-08-10T00:19:49Z,2025-08-10T00:19:49Z,LineDrive,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,954689e0-614e-4e12-b70e-3bd0b60651bc,38.42321,-89.81782,6.85437,3.4906,1.65257,-10.76511,0.47511,-1.43087,0.47777,137.241273,1.91737,108.65842,-21.92536,5.83691,-1.33055,0.27567,-0.04953,0.00619,-3.3e-4,2.35544,46.19463,-16.36451,0.18293,0.21858,-0.0519,-0.004,0.00451,-6.3e-4,-0.07436,-27.52425,-2.82468,1.43379,-0.47529,0.13006,-0.029,0.0044,-3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-08-09,17:20:01,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.53292,1.332796,0.990128,2352.58531,174.475076,11:45:00,3.50634,-0.47911,NA,-21.30808,13.28442,-1.20465,2.58814,0.05737,57.5225,-4.384598,0.678217,0.423314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56319,14.07083,0.68931,50,3.06609,-1.71844,-91.93439,4.71424,1.3298,14.39564,-20.20407,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,c1f80a40-757f-11f0-8f34-cd86955e6048,89.04134,NA,NA,4.01042,NA,NA,NA,NA,NA,NA,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:20:01,2025-08-10T00:20:01Z,2025-08-10T00:20:01Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,4869ec5b-69b7-4ac1-9f19-b7eed8e8415e,38.26248,-90.07771,7.19782,3.50606,2.10842,-10.10203,0.47873,-1.54694,0.6649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-08-09,17:20:06,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,61.05545,1.414174,0.985992,2209.611167,179.730994,12:00:00,3.5128,-0.47852,NA,-22.21812,13.00812,-0.05681,2.56982,0.15003,56.7894,-4.566,0.971257,0.427174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37406,13.76595,0.68172,50,3.04729,-1.57819,-91.34828,4.91703,0.31167,15.20462,-20.7042,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,c4ac2dc0-757f-11f0-8f34-cd86955e6048,88.23678,NA,NA,4.26604,NA,NA,NA,NA,NA,NA,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:20:06,2025-08-10T00:20:06Z,2025-08-10T00:20:06Z,NA,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,f76e0e79-a9a8-4c36-a62b-87b21f6f7f0a,38.2088,-89.36413,7.60231,3.51266,2.21519,-10.3521,0.47843,-1.53752,0.15583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-08-09,17:20:10,NA,NA,NA,NA,Undefined,CAL_LAN,"Kim, Ryan",1000113248,Right,CAL_LAN,Undefined,1,Bottom,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,NA,60.27575,1.10804,1.269996,2267.969492,182.462711,12:00:00,3.49975,-0.47848,22.00237,-22.67911,14.34418,0.57161,2.32732,0.39135,55.65147,-4.976212,1.417008,0.437934,57.98611,46.623596,16.351047,3955.364814,102.84278,51.8711,39.02994,166.2677,162.33175,22.472896,3.741029,-0.14732,15.02698,0.73017,50,3.11097,-1.94522,-90.29744,4.30813,-0.1186,16.21701,-20.07789,CAL_LAN,NA,705-CalBaptistBaseballField,NA,NA,20250809-705-CalBaptistBaseballField-BP-1,c6f0c690-757f-11f0-8f34-cd86955e6048,86.06868,55.72366,NA,4.62428,NA,NA,NA,2.7005,2.5594,-0.33445,0efd4c49-7c3b-4787-afac-884d10aef68f,2025-08-10,00:20:10,2025-08-10T00:20:10Z,2025-08-10T00:20:10Z,Popup,v3,471762,NA,NA,NA,NA,Undefined,CAL_LAN,937d1f64-80fd-4332-9794-b9ed5242fdbb,38.49881,-88.20769,8.10851,3.49943,1.72087,-10.03895,0.47853,-1.96051,-0.0593,208.384102,2.70053,56.04748,-9.17431,2.45877,-0.59393,0.1819,-0.05484,0.01004,-7.5e-4,2.56015,61.79211,-19.82032,1.16746,0.14364,-0.22036,0.08053,-0.01345,8.6e-4,-0.3345,16.44506,0.66354,-0.25257,0.04016,0.00748,-0.00574,0.00114,-8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
