PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-01-22,15:33:22,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,38.12455,NA,NA,NA,NA,NA,6.85373,2.97758,2.0095,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6694,-28.18009,-2.24541,50,8.07319,4.93236,-53.72508,4.63733,3.3077,5.96344,-40.16173,fe58251d-dbf4-4bfd-aca0-7ed9e7c9797b,c705bd91-97bc-42c4-83cc-7ee15e7553dc,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54b29aa5-7afb-4bab-95fd-24ca3a05719e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-01-22,15:34:11,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,61.37204,6.582099352,-1.127958052,1542.931424,228.1438375,01:30:00,5.94367,2.81144,13.89162,-48.48005,5.15267,5.77896,7.11923,2.40323,56.10221,-4.082006202,0.1475361825,0.5270918952,-4.60029,1.82842,-2.8807,50,5.53144,1.90172,-89.92739,11.47858,-3.74048,13.90166,-30.68737,250a9d68-fa49-464a-91e4-c865b34d54ca,4fd41587-96cc-40ba-9996-1b2495256718,71.51019,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.726828,934.4237469,0.6056158637,NA,c1689084-ddbd-4202-9e61-da27d0887b11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-01-22,15:34:17,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,56.32615,-1.173747386,5.029722508,NA,NA,NA,7.29034,-3.73172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.5156,-16.89729,3.26576,50,7.11003,-8.29209,-81.72146,-4.31843,-17.51558,9.24607,-43.77346,0e56997e-dc76-41cc-b609-0e84b66d2a0c,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6dc2023f-7c36-4af8-8b01-5f402a4ff971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-01-22,15:34:29,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,60.52274,NA,NA,1508.909248,NA,NA,6.04283,1.47933,NA,NA,NA,NA,4.82035,1.51087,54.47609,NA,NA,0.7352911636,-9.34823,-5.93213,-1.18885,50,7.36449,1.50731,-86.07073,6.4989,-6.94868,12.96319,-36.58349,5dc4494c-1ccf-4996-8e83-49933f4e06dc,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.62455405,936.748775,0.6208118722,NA,6ee14d52-fa24-4c16-946c-6e946c0c864a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-01-22,15:34:49,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,62.56319,NA,NA,1593.31708,NA,NA,5.53619,4.72277,-2.47608,NA,NA,NA,1.70769,6.02442,59.91588,NA,NA,0.7017687695,-23.22845,-19.10828,-4.20787,50,6.68537,2.18062,-89.59984,4.52766,-19.48455,9.07486,-48.20252,41ca1a6d-318b-45b6-aad4-0a11bee623f0,4fd41587-96cc-40ba-9996-1b2495256718,53.71062,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.75083681,964.4067259,0.6052823623,NA,09d1aae7-5b52-4a73-90a3-e6761a398110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-01-22,15:34:55,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,56.05811,10.33163946,-1.00313287,1281.115099,199.3993823,12:45:00,4.29772,2.91158,NA,-63.43823,10.26952,3.58352,7.69067,2.37668,49.97862,-2.943025873,-0.2467233871,0.6179139383,-2.73045,3.40243,-2.92885,50,4.117,1.43763,-81.0232,15.10816,-1.78154,12.41023,-29.95407,39b951de-9a68-46b9-8448-660b32c75b12,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.3890241,52.28192514,783.7562568,0.6117766137,02:00:00,0b50ef2c-9861-40ae-bbe8-b295bf72b293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-01-22,15:35:02,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,57.68162,8.309778334,-4.85384392,1490.281804,207.931254,01:00:00,4.45738,3.01785,NA,-59.02271,9.6044,5.1201,6.50394,-0.59048,52.04304,-4.028116092,-3.780654362,0.5962374707,-4.94862,3.82607,-3.10868,50,4.29868,7.1274,-83.57058,12.60383,-3.45946,12.47112,-29.49934,a6c98c99-f25a-4b18-a8fe-dc2c1db2cafd,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.3441051,48.8680323,980.300795,0.6577955878,02:00:00,af0794d8-1982-4de4-934c-df929fefa508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-01-22,15:35:14,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,58.31233,7.891199071,-3.628515806,1483.541246,218.3140322,01:15:00,4.2944,3.26837,12.31949,-54.63406,9.90636,7.86529,6.23628,0.95832,52.78392,-3.721641023,-1.950200644,0.5782122944,-6.55277,4.40434,-3.38466,50,4.03542,5.4629,-84.81754,12.36494,-4.72556,12.68846,-28.99784,6ded3f97-7e30-401f-ba43-74835636dbf9,4fd41587-96cc-40ba-9996-1b2495256718,65.18789,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.34003142,1061.035509,0.7152045902,NA,32312b21-361f-4f24-a184-ce26590069bb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-01-22,15:35:25,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,60.50463,8.117360038,-2.328336898,1613.660816,234.5438681,01:45:00,4.44627,2.4451,NA,-50.953,7.1208,10.05562,6.7892,1.40629,54.97776,-2.834073751,-0.1557469154,0.5484808847,-7.80929,2.63367,-2.54582,50,4.08937,3.73742,-88.14244,13.36042,-6.10798,13.20621,-30.11415,9e5e3fbc-3764-4a8a-89be-7975e65084ed,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5324248,1130.378293,0.7005055097,NA,3dd7f573-075e-4a08-9dae-2bfe95d2370a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-01-22,15:35:35,"Barlow, Billy",701775,Right,FLA_GAT,NA,NA,NA,NA,NA,Live,NA,61.04534,7.933359066,-2.691537121,1580.727364,222.6848513,01:30:00,4.3309,1.83217,NA,-48.77141,9.95739,9.20557,6.7998,0.3978,55.4365,-2.400252812,-0.7314063628,0.5515653332,-7.12962,4.52219,-1.91559,50,4.08106,4.2762,-88.84169,12.92234,-5.6696,13.32486,-28.57792,a3a046ff-acf4-4eb7-96f6-a3201afdefcf,4fd41587-96cc-40ba-9996-1b2495256718,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.7623705,51.15044997,991.5547992,0.6272775572,01:15:00,49154af4-88cc-4922-a346-098f6442ac76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
