PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-09-15,14:08:03,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,94.92871,-3.204211636,-5.512191106,2519.932025,214.6302387,01:15:00,6.13249,2.1135,5.84063,-10.67379,20.9027,14.44492,2.24858,-1.82076,85.62733,-5.219240084,-2.79672823,0.4044392986,-9.49607,12.2721,-1.67239,50,5.86429,12.74705,-137.24387,-8.08656,-17.92788,33.25882,-9.00522,d937149d-2001-495f-8ace-bbe37dbf8ebd,9550d193-aa14-48eb-b5c2-e4b6d832b201,93.19678,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.35899122,2417.914621,0.9595158114,NA,d659416d-267c-4d02-9fea-a1d4a9b4e3a5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-09-15,14:08:33,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,95.60828,-2.342336734,-3.523801196,2534.586575,212.1131495,01:00:00,6.02064,2.31327,5.88912,-10.57136,20.33949,12.77496,2.95975,0.10225,86.18562,-4.340826127,-1.108938578,0.4001537553,-8.0156,11.73751,-2.0367,50,5.8257,8.10097,-138.69977,-6.04835,-15.42439,34.54681,-9.58758,0ec9e501-03b1-423d-a893-814daf1d5de3,9550d193-aa14-48eb-b5c2-e4b6d832b201,94.19489,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0425962,2395.88455,0.9452762727,NA,a5edd4bb-a58a-4873-b607-2c01834dd999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-09-15,14:08:47,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,84.89965,-0.4667975308,-1.726540958,2497.132094,169.4533138,11:45:00,5.78899,2.35771,NA,-32.47277,8.43938,-1.57835,2.637,0.57712,77.72279,-6.386046821,-2.015413112,0.4603600181,0.32826,4.44261,-2.17158,50,5.70784,3.77653,-123.25097,-2.26743,0.5051,24.4217,-25.3381,35ebf69b-db16-4db0-8f6d-afcc96b24e9d,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b26009ca-2fb9-4ea3-b68d-2860637bd445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-09-15,14:09:02,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,83.57111,0.3069389677,-0.6338798091,2623.835731,116.3081845,10:00:00,5.77963,2.27059,6.38084,-34.22095,4.82097,-9.81612,3.21023,0.86951,76.75325,-6.162011651,-2.496451355,0.4497145942,5.21252,2.56122,-2.22044,50,5.78566,1.61976,-121.75595,-0.29833,7.82497,23.89707,-28.32917,fa5f4fb6-2655-4446-bdb1-e3f18eb6c756,9550d193-aa14-48eb-b5c2-e4b6d832b201,83.81413,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.52107965,71.09113971,850.289963,0.3240637182,08:30:00,69fc6fee-e2e8-41a0-874f-0c533f40b329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-09-15,14:09:22,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,84.01109,0.3596097893,-2.290206089,NA,NA,NA,5.89706,2.22639,NA,-36.43995,5.25047,-8.30973,3.20271,-0.6455,76.59926,-6.320955696,-3.818355376,0.4647180394,3.61236,2.60192,-1.9825,50,5.90146,5.18461,-121.90023,-0.59135,5.40598,25.178,-28.28022,ed4d793c-7a85-4ad9-be55-2833ea95d5a6,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3d3aec87-9338-4838-9881-41495e5ffd63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-09-15,14:09:38,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,ChangeUp,Live,NA,82.91263,-1.044883697,-3.28604849,2121.024245,236.6964076,02:00:00,5.81004,2.38812,NA,-31.15698,11.33945,17.31229,2.22419,0.72119,75.17705,-6.806599613,-0.07129854846,0.4691887712,-10.04764,6.24269,-2.0819,50,5.68303,6.29701,-120.21371,-3.28515,-14.56367,25.36843,-23.1255,6cadc977-d0d8-4be4-bc99-894759f05f1b,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.62815909,1429.441761,0.6739393783,NA,4b76fcc1-9244-4a26-9247-1339ed44c6fb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-09-15,14:09:57,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,95.197,-3.933567627,-3.087070149,2501.728559,210.9466689,01:00:00,6.07489,2.08076,5.81515,-9.89639,21.27379,12.73142,1.58215,0.26894,86.37762,-5.791334668,-0.6893781876,0.4018287982,-7.77313,12.62811,-1.83568,50,5.74654,6.9979,-137.99227,-9.84771,-14.89427,32.5008,-7.97706,e36aed71-3a43-4f55-af36-974713df9f46,9550d193-aa14-48eb-b5c2-e4b6d832b201,93.80223,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.08559938,2283.920008,0.9129367774,NA,c8ada647-31fb-493d-ae43-12aba43c9439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-09-15,14:10:39,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,85.32139,-0.9498890961,-1.890571982,NA,NA,NA,5.88418,2.21483,NA,-29.33984,9.44021,-5.86033,2.54976,-0.0433,78.45137,-6.389325251,-2.981967832,0.4482038383,2.59931,5.26875,-2.04477,50,5.78085,4.29192,-124.0737,-3.04161,4.06223,24.23056,-23.93997,222bedaf-75ce-4429-baa5-cf584166b858,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6caf620f-9b83-4019-bc25-f95deb666e16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-09-15,14:11:12,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,96.27817,-3.66261237,-3.061791693,2623.773965,209.1337133,01:00:00,6.22301,1.72351,5.86488,-8.26847,22.12912,12.31704,2.12258,-0.09662,87.30206,-5.218532921,-0.7399446938,0.3968176524,-7.55553,13.03108,-1.48277,50,5.92119,7.03703,-139.61709,-9.23925,-14.81841,33.30682,-6.61661,1c9dafa0-8bc2-41ad-ab54-01cb7d8bff85,9550d193-aa14-48eb-b5c2-e4b6d832b201,94.9868,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1412078,2291.662478,0.873422219,NA,ea0bf3c1-8fa5-4ff8-b26e-c2ca6ebb72e4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-09-15,14:11:45,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,ChangeUp,Live,NA,82.83373,-0.4093164459,-2.747160489,2114.194237,238.5702552,02:00:00,5.71333,2.48517,NA,-30.93767,11.21085,18.4128,2.74947,1.43178,75.09042,-6.160172851,0.6875398005,0.4672643032,-10.53567,6.02854,-2.24236,50,5.65195,5.14652,-120.22309,-1.90537,-15.2731,25.37734,-23.43475,366f3365-bde7-4af0-a61c-e94a858ec1f2,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4cd8c2a6-bb82-4180-ae8c-f1a51238421f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2025-09-15,14:12:23,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Slider,Live,NA,84.45443,-0.9845605044,-2.480985379,2704.139398,96.16605762,09:15:00,5.95082,2.09119,NA,-40.14944,1.56111,-14.88623,1.66396,-1.51976,77.25215,-8.279796311,-5.206994644,0.4648302135,6.87763,1.09628,-1.81158,50,5.80711,5.87653,-122.43947,-3.64732,10.35738,25.97215,-30.5231,1f512278-aa8f-4292-a711-1ceb298d56a8,9550d193-aa14-48eb-b5c2-e4b6d832b201,NA,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b5f635f-b68f-4981-bc3a-dd0a03eb8bf3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2025-09-15,14:12:54,"Barberi, Jackson",815346,Right,FLA_GAT,NA,NA,NA,NA,Fastball,Live,NA,97.01705,-4.007917171,-5.127425447,2492.230919,206.2038186,12:45:00,6.16903,1.7106,5.93845,-7.44935,22.46858,11.05323,1.80975,-2.13687,88.20801,-5.411709757,-3.053571959,0.3936744115,-7.43715,13.29189,-1.30764,50,5.84403,12.2066,-140.32576,-10.13089,-14.79592,32.42128,-5.73036,9c649f06-1e73-41ee-b403-7bf7aa0095a0,9550d193-aa14-48eb-b5c2-e4b6d832b201,95.74521,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.485799993,2464.947136,0.9890524656,NA,672bb743-2d36-4616-996e-badac620652c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2025-09-15,14:16:38,"Sandefer, Russell",824531,Right,FLA_GAT,NA,NA,NA,NA,ChangeUp,Live,NA,81.94052,-0.9102742502,-5.367696836,2188.604999,237.8110369,02:00:00,5.50901,3.43796,6.34447,-29.01012,12.17603,19.43493,2.24989,0.10237,74.62065,-6.401618734,-1.687051581,0.4618989704,-12.2264,6.94706,-3.05685,50,5.42896,10.63456,-118.81313,-2.68572,-17.40429,23.64855,-22.2849,38bbd2be-d677-4cc9-a666-1e589f3ca945,4b1f3c9b-ceac-4b0e-ac91-c4dd54e97b6a,81.60321,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc0c48c1-e803-481a-b42d-a42fa1bd838e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2025-09-15,14:18:05,"Sandefer, Russell",824531,Right,FLA_GAT,NA,NA,NA,NA,Sinker,Live,NA,93.68504,-0.4780159496,-5.380987502,2490.626321,222.4500974,01:30:00,5.71211,3.037,6.51878,-12.54287,18.87431,17.35232,4.22639,-0.46806,84.56803,-2.874164814,-2.078008673,0.4034177461,-11.23197,10.5807,-2.6697,50,5.67328,12.27766,-135.85353,-1.51347,-20.80541,32.2217,-12.57502,02c9752b-d4f5-48c9-b329-712c3841f916,4b1f3c9b-ceac-4b0e-ac91-c4dd54e97b6a,93.43277,Pitching,24300120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4880059,2229.179666,0.8950277475,NA,2f8047ba-d6b3-44a6-abb4-121f7faefe0e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
