PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt
1,2025-01-16,16:14:19,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,88.80314,0.6836076581,-5.736123649,1598.521246,267.1982058,03:00:00,4.47577,1.80199,5.2839,-35.84327,0.74233,16.2684,2.13397,-2.24634,80.69153,-5.971672376,-2.718154141,0.4353378746,-10.2592,0.19342,-1.28985,50,4.51256,12.32638,-128.46797,0.26658,-17.07799,27.58837,-31.85207,268c825a-0165-49db-906f-aab64044ef92,c6299b2d-45af-49b3-8454-c0caa9f9f266,86.58203,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.64240069,1416.066803,0.8858604829,NA
2,2025-01-16,16:14:33,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,88.18473,0.03603946878,-3.426474709,1609.106338,271.0885584,03:00:00,4.40865,1.74362,4.82527,-37.92216,-0.33339,15.89291,1.28266,-0.18057,80.23516,-6.955012446,-0.4861185641,0.441265975,-9.27991,-0.18407,-1.41719,50,4.38058,7.05585,-127.87556,-1.35264,-15.27224,27.87038,-32.47698,3b319359-b05d-401b-b2a0-0cd4944b1e0c,c6299b2d-45af-49b3-8454-c0caa9f9f266,85.41887,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.7937359,24.4216065,1465.136074,0.9105278125,02:45:00
3,2025-01-16,16:14:58,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,89.15079,0.3102886272,-2.497967456,1613.914258,265.5230147,02:45:00,4.31238,1.8756,5.00137,-35.218,1.24842,16.39771,1.67071,0.88279,81.09177,-6.20934162,0.5476546661,0.4346282151,-9.31929,0.56161,-1.64871,50,4.31441,5.03442,-129.4222,-0.61215,-15.7119,28.5229,-31.2272,55b395e9-c45d-4ce1-9f5f-edc3625541c9,c6299b2d-45af-49b3-8454-c0caa9f9f266,86.72341,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1913297,1472.183757,0.9121821374,NA
4,2025-01-16,16:15:11,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,89.0241,0.4971578541,-4.114328638,1576.307052,277.3428485,03:15:00,4.35711,1.79247,5.06516,-38.91818,-2.24544,17.14833,1.58386,-0.66406,80.7733,-6.717920384,-0.9275882672,0.435856094,-10.24196,-1.32868,-1.41484,50,4.37439,8.64979,-129.01637,-0.30886,-17.12229,28.88237,-34.3953,914b83f9-dbd1-4ddf-88ce-9bc51acd5227,c6299b2d-45af-49b3-8454-c0caa9f9f266,86.47909,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.33797661,1360.449064,0.8630609516,NA
5,2025-01-16,16:15:34,"Klein, Noah",1000281806,Right,NA,NA,ChangeUp,Live,NA,83.20721,-1.931009801,-4.172661167,1129.217183,254.6235323,02:30:00,4.40758,1.73394,5.15628,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.23952,2.221,-1.35267,50,4.198,8.40856,-120.53291,-5.38869,-10.56432,25.19343,-28.93304,ad773c94-970c-4dbe-9cb6-5d4fa2f54859,c6299b2d-45af-49b3-8454-c0caa9f9f266,NA,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.04475284,913.0371783,0.8085576377,NA
6,2025-01-16,16:15:52,"Klein, Noah",1000281806,Right,NA,NA,ChangeUp,Live,NA,80.32424,-0.4078663431,-4.125398117,962.941476,280.6852812,03:15:00,4.29166,1.95905,5.46761,-45.72128,-1.42855,7.41443,0.0989,-1.2901,73.48415,-8.896474903,-2.740688112,0.4790023407,-5.17444,-0.63854,-1.60115,50,4.22505,8.17116,-116.50022,-2.25961,-7.06358,23.26151,-33.04572,707107bf-5c5b-44e3-869a-431a83326901,c6299b2d-45af-49b3-8454-c0caa9f9f266,78.68947,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.93474262,798.9274396,0.8296739309,NA
7,2025-01-16,16:16:07,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,88.91609,-0.4150687923,-4.272261136,1721.256462,260.5939888,02:45:00,4.46999,1.76163,5.18795,-33.52019,2.69671,16.45292,1.28512,-0.89338,81.56652,-6.605428548,-1.226940714,0.4331387284,-9.79221,1.52858,-1.37718,50,4.40637,9.03596,-128.98065,-2.15808,-16.55399,25.93842,-29.58994,59f96861-6d23-466c-9e66-0c2d3a479d86,c6299b2d-45af-49b3-8454-c0caa9f9f266,87.02163,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.10030363,1583.245117,0.9198194182,NA
8,2025-01-16,16:16:24,"Klein, Noah",1000281806,Right,NA,NA,ChangeUp,Live,NA,81.35353,0.1954527492,-2.17783182,1233.508456,273.1588677,03:00:00,4.26709,1.8037,5.45326,-43.76134,-0.67947,11.64174,0.80339,0.73442,74.22309,-7.957784243,0.003863416955,0.4724095617,-6.84818,-0.42026,-1.61968,50,4.2548,4.12565,-118.20412,-0.98542,-9.61344,24.17261,-32.764,44ffae28-f3d0-4a37-8c7d-557383c8faf7,c6299b2d-45af-49b3-8454-c0caa9f9f266,79.78763,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261.5744694,31.57618919,1050.880889,0.8519446171,02:45:00
9,2025-01-16,16:16:50,"Klein, Noah",1000281806,Right,NA,NA,Sinker,Live,NA,88.19807,0.5762339267,-4.09842633,1699.022651,272.2565172,03:00:00,4.29535,2.13636,5.019,-38.02746,-0.74987,17.9587,1.67153,-0.24087,80.31444,-6.45497127,-0.7709074695,0.4394356754,-10.58308,-0.55915,-1.75783,50,4.32073,8.50003,-127.85625,-0.11108,-17.4539,27.26829,-33.09621,bdf8166b-47c5-48f7-ab81-ea8dea026065,c6299b2d-45af-49b3-8454-c0caa9f9f266,85.77464,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.15045414,1525.110389,0.8976398212,NA
10,2025-01-16,16:17:16,"Klein, Noah",1000281806,Right,NA,NA,Slider,Live,NA,76.2401,2.024467214,-2.443001313,2246.27632,98.76337759,09:15:00,4.09184,2.1647,4.50703,-47.62556,3.52533,-22.92807,2.05393,-2.07438,69.38957,-6.696837894,-6.651088244,0.5147519326,11.04732,1.18271,-1.88808,50,4.26023,5.49111,-110.46809,2.29223,13.48933,21.85656,-30.7299,49737430-c430-4069-aa61-6b613ff305f9,c6299b2d-45af-49b3-8454-c0caa9f9f266,73.22447,Pitching,23360087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.25724772,59.03260323,1155.822007,0.5145502345,08:00:00
